representation_keyword_sn,representation_keyword,Category
1,가상화 솔루션,업계 지식
2,강화학습 (Reinforcement Learning),업계 지식
3,개인정보 관리시스템 (PIMS),업계 지식
4,객체 인식 (Object Detection),업계 지식
5,객체지향 프로그래밍 (object oriented programming),업계 지식
6,검색 엔진 최적화 (SEO),업계 지식
7,게임 서버 (Game Server),업계 지식
8,게임 엔진 (Game Engine),업계 지식
9,결제시스템,업계 지식
10,계리시스템,업계 지식
11,고가용성 (High Availability),업계 지식
12,고객 관계 관리 (CRM),업계 지식
13,고성능 컴퓨팅 (HPC),업계 지식
14,관점지향 프로그래밍 (Aspect Oriented Programming),업계 지식
15,광고 타겟팅,업계 지식
16,그로스 해킹 (Growth hacking),업계 지식
17,금융 서비스,업계 지식
18,금융 플랫폼,업계 지식
19,기계 학습 (Machine Learning),업계 지식
20,기반 시설 (Infra Structure),업계 지식
21,네이티브 앱 (Native App),업계 지식
22,네트워크 (Network),업계 지식
23,네트워크 보안 (network security),업계 지식
24,네트워크 프로그래밍 (Network Programming),업계 지식
25,대시보드 개발,업계 지식
26,대용량 데이터 처리,업계 지식
27,대용량 시스템,업계 지식
28,대용량 트래픽,업계 지식
29,대용량 tps 서비스,업계 지식
30,데브옵스 (DevOps),업계 지식
31,데이터 구조,업계 지식
32,데이터 분석,업계 지식
33,데이터 설계,업계 지식
34,데이터 수집,업계 지식
35,데이터 시각화,업계 지식
36,데이터 아키텍처,업계 지식
37,데이터 웨어하우스 (Data Warehouse),업계 지식
38,데이터 인프라스트럭처 (Data Infrastructure),업계 지식
39,데이터 입력,업계 지식
40,데이터 파이프라인,업계 지식
41,데이터베이스 모델링,업계 지식
42,데이터베이스 엔지니어,업계 지식
43,데이터베이스 쿼리 최적화,업계 지식
44,도메인 주도 설계 (DDD),업계 지식
45,동기 처리 (Synchronous),업계 지식
46,동기/비동기 (Asynchronous-synchronous),업계 지식
47,동시성,업계 지식
48,디버깅 (Debugging),업계 지식
49,디자인 패턴,업계 지식
50,디지털 권리 관리 (DRM),업계 지식
51,딥러닝 (Deep Learning),업계 지식
52,라이다 (lidar),업계 지식
53,라이브러리 (library),업계 지식
54,레이다 (radar),업계 지식
55,로그 (log),업계 지식
56,로보 어드바이저 (Robo-Advisor),업계 지식
57,로봇 (robot),업계 지식
58,리눅스 커널 (linux kernel),업계 지식
59,리팩토링 (Refactoring),업계 지식
60,마커 인식 (Marker Recognition),업계 지식
61,마케팅 (marketing),업계 지식
62,마케팅 솔루션,업계 지식
63,머티리얼 디자인 (Material Design),업계 지식
64,멀티 스레드 (Multi-thread),업계 지식
65,멀티 플랫폼 (Multi-platform),업계 지식
66,멀티미디어 프레임워크 (Multimedia framework),업계 지식
67,메모리 최적화,업계 지식
68,모니터링 (Monitoring),업계 지식
69,모델 경량화,업계 지식
70,모델 최적화,업계 지식
71,모델-뷰-뷰 모델 (mvvm),업계 지식
72,모바일 네트워크 (Mobile network),업계 지식
73,모바일 앱 개발,업계 지식
74,모바일 웹 (Mobile Web),업계 지식
75,모바일 플랫폼 (mobile platform),업계 지식
76,모바일 플랫폼 전략 수립,업계 지식
77,미들웨어 (Middleware),업계 지식
78,미디어 기기 처리,업계 지식
79,반응형 웹 (Responsive Web),업계 지식
80,반응형 웹 디자인 (Responsive Web Design),업계 지식
81,반응형 웹 서비스 (Responsive Web Service),업계 지식
82,방송 미들웨어,업계 지식
83,배포 자동화 (Continuous Deployment),업계 지식
84,백엔드(Back-end),업계 지식
85,백오피스 (BackOffice),업계 지식
86,버전 관리,업계 지식
87,병렬 프로그래밍 (Parallel programming),업계 지식
88,병렬처리 (Parallel processing),업계 지식
89,보안 (Security),업계 지식
90,분산 버전 관리 시스템 (DVCS),업계 지식
91,분산 시스템 (Distributed system),업계 지식
92,분산 처리 (Distributed computing),업계 지식
93,분산 처리 시스템 (Distributed Processing System),업계 지식
94,분산환경 (Data parallelism),업계 지식
95,브랜딩 (Branding),업계 지식
96,블록체인 (Block chain),업계 지식
97,비동기 처리 (Asynchronous),업계 지식
